Ticker,Rank Score,Revenue_to_EV_%,Profit_Margin_%,Return_on_EV_%,2yr_Revenue_Growth_%,Enterprise_Value,Market_Cap,Eligible
CNC,832.7684287254425,900.9,-3.1550000000000002,-3.53,6.41,18678966272.0,20225968128.0,True
CVS,395.33930063523945,228.31,0.11999999,364.75,7.81,171444158464.0,100742160384.0,True
F,384.07021124148423,102.99,2.4820002,39.11,8.52,184012619776.0,52276621312.0,True
KR,355.7038184117197,216.45,0.53600003,86.14,-0.38,67975041024.0,41404133376.0,True
BG,342.0220343607952,180.18,2.2009999999999996,25.22,-10.5,33362601984.0,17224601600.0,True
ADM,297.4065066887385,232.02,1.429,30.16,-7.89,35857952768.0,27627954176.0,True
BBY,295.9987606851636,245.7,1.5420000999999999,26.42,-5.15,17039184896.0,14062077952.0,True
HPQ,271.0228164498307,200.0,4.5739997,10.93,1.47,27644694528.0,20825157632.0,True
MPC,263.4393919998522,153.14,2.158,30.26,-10.87,87227981824.0,49442824192.0,True
LYB,257.52246535984705,147.71,-3.198,-21.18,-10.06,25585098752.0,13937098752.0,True
GM,257.05240346994395,98.81,1.625,62.27,9.8,189669277696.0,77422968832.0,True
PSX,248.57778247842614,180.51,1.1410000999999999,48.53,-7.89,73062940672.0,52148191232.0,True
TGT,239.71711482803582,172.71,3.576,16.18,-1.17,60910825472.0,44417515520.0,True
VLO,223.77501307851318,199.2,1.283,39.09,-13.18,58461503488.0,50570993664.0,True
LKQ,192.73832311135197,108.7,4.9439996,18.61,6.1,12971173888.0,7770254336.0,True
MHK,159.10978334934947,124.84,3.927,20.39,-3.83,8584374784.0,6791017984.0,True
MOS,151.14097501534727,95.51,10.334,10.13,-20.92,12453355520.0,7646355456.0,True
BWA,149.77023819337413,121.36,0.9450000000000001,87.21,5.74,11688600576.0,9750663168.0,True
GPC,146.15028706977623,104.17,3.36,28.56,3.15,23090606080.0,17105026048.0,True
AES,145.55119002253704,25.73,8.74,44.48,-1.34,47013814272.0,10211814400.0,True
LEN,139.84650935660005,152.67,6.079,10.78,2.63,22394435584.0,25388613632.0,True
CMCSA,137.37536005170398,61.88,18.333,8.81,0.95,199209009152.0,110360051712.0,True
EG,135.32739357430646,142.45,3.1229999,22.47,21.24,12404253696.0,14245253120.0,True
CPB,134.6459256957685,65.75,5.6900002,26.73,4.79,15450001408.0,8309001728.0,True
CAG,131.77783428274068,70.82,-0.8719999,-161.87,-2.71,15857875968.0,8280575488.0,True
JBL,125.73762283687223,118.76,2.26,37.26,-7.06,26197139456.0,24361050112.0,True
VICI,115.67801027736557,8.33,70.175004,17.11,24.0,47651319808.0,30054977536.0,True
EIX,114.8366590563007,27.41,16.315001000000002,22.36,1.1,65987919872.0,23097737216.0,True
HPE,114.21488305749267,67.02,0.166,898.49,8.86,51152486400.0,32055486464.0,True
AIZ,112.71122586430718,102.99,6.753000000000001,14.39,8.26,12210135040.0,12153101312.0,True
TAP,102.18928503860948,74.46,-18.637999999999998,-7.2,4.33,15058046976.0,9231241216.0,True
HAL,101.567734164456,72.89,5.913,23.2,6.52,30368368640.0,24094535680.0,True
VZ,100.76975615331342,40.37,14.427999999999999,17.17,-0.75,340556021760.0,171735007232.0,True
L,97.33389393877883,71.07,7.949000000000001,17.71,11.35,25707319296.0,21844074496.0,True
T,95.89349634384959,37.27,17.870001,15.01,0.66,333947928576.0,177615585280.0,True
PHM,90.6599803724925,74.74,14.926,8.96,6.07,23574695936.0,23135113216.0,True
GIS,89.99983740352783,49.58,13.51,14.93,-1.51,37875367936.0,24811567104.0,True
DHI,89.03142218015319,74.96,10.468,12.75,-1.71,45697077248.0,42065481728.0,True
ACGL,88.27379949599323,56.27,20.959,8.48,38.06,34719461376.0,35799289856.0,True
HIG,87.52010136697778,72.1,12.745000000000001,10.89,10.36,38734008320.0,38432460800.0,True
NUE,82.44665542041868,74.85,5.185,25.77,-12.98,42598137856.0,37329133568.0,True
DVN,81.77882440597548,54.47,16.424999,11.18,-8.42,30386999296.0,23252723712.0,True
SLB,79.28144233797907,51.98,10.341000000000001,18.61,14.59,67815788544.0,57336786944.0,True
BEN,79.25799334413563,59.14,5.985,28.25,5.87,14831486976.0,12456023040.0,True
SOLV,78.66205509836604,48.73,18.139,11.31,0.76,17238984704.0,13743983616.0,True
CINF,77.68016152527557,48.78,17.569000000000003,11.67,36.37,24754944000.0,25539397632.0,True
PYPL,74.10156105118028,58.65,14.963001,11.4,7.77,56035360768.0,55774994432.0,True
GL,73.51492632264159,42.72,19.363001,12.09,5.27,13909489664.0,11329155072.0,True
FANG,71.8633463476956,22.25,28.688999999999997,15.67,7.62,65733394432.0,43518447616.0,True
IVZ,70.94616163866928,38.9,16.691,15.4,0.15,16141290496.0,11715468288.0,True
CB,70.78695879833846,40.23,16.442,15.12,15.33,146259099648.0,124439216128.0,True
STLD,70.1137829528528,63.57,6.39,24.61,-10.6,27732889600.0,24943816704.0,True
WRB,70.05269569363044,55.8,13.007,13.78,11.03,26265565184.0,26647087104.0,True
OMC,69.52268286475218,79.74,8.307,15.1,4.9,20148422656.0,25625141248.0,True
SJM,67.14280148979746,47.85,-13.608,-15.36,1.15,18333472768.0,10435772416.0,True
ES,67.01665338142121,23.91,10.2189995,40.93,-1.58,54993715200.0,25261486080.0,True
XOM,66.91694460947711,60.02,9.1809995,18.14,-7.45,543377719296.0,513039138816.0,True
SYF,66.49458556240867,32.74,37.066,8.24,19.06,29457074176.0,31040759808.0,True
KHC,65.44661446190858,53.68,-17.349999999999998,-10.74,-1.21,46890647552.0,28703647744.0,True
PNC,64.09276561129916,15.65,29.937,21.34,-0.72,139278237696.0,82017738752.0,True
PCAR,63.709567556641694,45.85,9.1120005,23.94,8.4,64416428032.0,57515130880.0,True
AIG,63.56961214841901,61.05,12.0170005,13.63,-4.51,44432732160.0,47395028992.0,True
FOXA,63.55664385051262,46.15,12.353,17.55,4.65,35706896384.0,32438894592.0,True
CVX,62.120443242246814,54.47,6.7669999999999995,27.13,-8.97,346454818816.0,307079086080.0,True
FITB,61.2760913512256,17.03,29.674,19.78,0.93,47699959808.0,30943508480.0,True
MO,60.9969021223462,16.93,43.980000000000004,13.43,-0.59,119071203328.0,96862511104.0,True
USB,60.48487405120186,25.75,27.632,14.05,6.51,100998602752.0,83038273536.0,True
CMI,59.982273176754106,43.86,7.9450004000000005,28.7,10.74,76580601856.0,70460612608.0,True
CF,58.521480233397334,40.9,20.472,11.94,-23.47,16467079168.0,12526988288.0,True
BMY,57.67351374881008,33.27,12.572,23.91,2.32,144395517952.0,109808517120.0,True
AMP,57.03003157363079,47.08,19.586000000000002,10.84,10.54,39323385856.0,46225121280.0,True
COP,56.11999760697192,46.1,14.445,15.01,-15.13,132901584896.0,116913496064.0,True
VTRS,55.59130155941948,50.53,-26.134002000000002,-7.57,-4.68,27948034048.0,14373116928.0,True
RJF,54.4925882830981,67.89,15.234,9.67,10.35,20650866688.0,32019070976.0,True
HBAN,54.41114091790194,23.09,29.619,14.62,0.9,32492429312.0,27322836992.0,True
MTB,54.102629355501726,30.5,30.54,10.74,7.6,29777618944.0,31485136896.0,True
EOG,53.60484637883719,36.79,24.410999,11.13,-10.37,61575262208.0,57334767616.0,True
EXPE,52.991084577097915,39.6,9.659000500000001,26.15,8.67,36290686976.0,35049861120.0,True
WFC,50.548029170238216,24.91,26.629,15.07,5.33,317406674944.0,298560716800.0,True
BAC,49.16872633082366,24.35,29.224002,14.05,3.65,416494256128.0,407382097920.0,True
AFL,48.85092171723188,28.09,23.552,15.11,-0.06,63009042432.0,58975866880.0,True
TFC,48.55293710510552,19.08,28.605000000000004,18.32,-16.76,95815712768.0,63453102080.0,True
CFG,46.21838062045674,29.16,22.894000000000002,14.98,-1.42,25525288960.0,25195094016.0,True
SNA,44.46979020094239,28.88,19.827999,17.46,2.75,17714104320.0,17975498752.0,True
GILD,43.753665451448335,17.25,27.882,20.79,2.7,168648015872.0,152296636416.0,True
CTRA,43.486745962785164,27.7,24.691999,14.62,-19.85,24066457600.0,20085843968.0,True
JPM,43.344707592539734,26.36,34.699999999999996,10.93,16.33,634261340160.0,886025682944.0,True
DE,38.85722290535542,24.84,11.017000000000001,36.54,-12.93,183670276096.0,125911285760.0,True
CAT,38.79098762345729,21.34,14.338999999999999,32.67,4.53,302993473536.0,268377505792.0,True
